Customer_ID,Age,Annual_Income,Total_Spend,Years_as_Customer,Num_of_Purchases,Average_Transaction_Amount,Num_of_Returns,Num_of_Support_Contacts,Satisfaction_Score,Last_Purchase_Days_Ago,Email_Opt_In,Target_Churn,Gender_Female,Gender_Male,Gender_Other,Promotion_Response_Ignored,Promotion_Response_Responded,Promotion_Response_Unsubscribed
1,62,45.15,5892.58,5,22,453.8,2,0,3,129,1,1,0.0,0.0,1.0,0.0,1.0,0.0
2,65,79.51,9025.47,13,77,22.9,2,2,3,227,0,0,0.0,1.0,0.0,0.0,1.0,0.0
3,18,29.19,618.83,13,71,50.53,5,2,2,283,0,1,0.0,1.0,0.0,0.0,1.0,0.0
4,21,79.63,9110.3,3,33,411.83,5,3,5,226,1,1,0.0,0.0,1.0,1.0,0.0,0.0
5,21,77.66,5390.88,15,43,101.19,3,0,5,242,0,0,0.0,0.0,1.0,0.0,0.0,1.0
6,57,190.43,255.19,19,85,417.78,5,1,4,130,0,0,0.0,1.0,0.0,0.0,0.0,1.0
7,27,172.13,3512.55,3,77,316.18,0,3,1,61,1,0,0.0,1.0,0.0,0.0,0.0,1.0
8,37,88.9,7270.9,4,87,63.61,3,4,3,224,0,0,0.0,0.0,1.0,1.0,0.0,0.0
9,39,24.46,4935.49,1,21,173.8,9,2,4,126,1,1,0.0,0.0,1.0,0.0,1.0,0.0
10,68,169.59,9803.57,17,34,481.18,6,1,2,171,1,0,0.0,0.0,1.0,0.0,0.0,1.0
11,54,138.9,4283.84,15,33,96.55,9,1,2,92,1,0,0.0,1.0,0.0,0.0,1.0,0.0
12,41,47.43,3333.69,4,10,212.58,0,0,2,213,0,1,1.0,0.0,0.0,0.0,1.0,0.0
13,24,199.29,8234.55,1,60,160.58,2,1,5,276,0,0,0.0,0.0,1.0,1.0,0.0,0.0
14,42,38.04,5524.28,12,4,259.81,5,4,2,212,0,1,1.0,0.0,0.0,1.0,0.0,0.0
15,42,176.08,6855.03,17,64,222.85,6,0,1,125,0,1,1.0,0.0,0.0,1.0,0.0,0.0
16,30,72.97,8076.45,9,63,466.61,5,0,3,304,0,0,0.0,1.0,0.0,0.0,0.0,1.0
17,19,98.36,6747.13,10,9,414.8,7,3,2,274,1,1,0.0,1.0,0.0,0.0,1.0,0.0
18,56,163.18,4281.83,3,29,294.39,7,0,3,197,1,0,1.0,0.0,0.0,0.0,0.0,1.0
19,57,141.95,1335.48,15,14,173.58,7,3,4,4,0,0,0.0,1.0,0.0,0.0,1.0,0.0
20,41,188.82,5844.46,11,88,378.05,8,4,5,57,1,1,0.0,0.0,1.0,0.0,0.0,1.0
21,64,131.81,8984.59,5,72,298.9,1,1,2,323,1,1,0.0,0.0,1.0,0.0,1.0,0.0
22,42,37.61,4247.04,10,13,89.61,0,4,1,199,0,0,1.0,0.0,0.0,0.0,1.0,0.0
